000(000): 0000(0000)
115(073): 0115(0073)
116(074): 0116(0074)
117(075): 0117(0075)
118(076): 0118(0076)
119(077): 0119(0077)
120(078): 0120(0078)
121(079): 0121(0079)
122(07a): 0122(007a)
123(07b): 0123(007b)
124(07c): 0124(007c)
125(07d): 0125(007d)
126(07e): 0126(007e)
127(07f): 0127(007f)
128(080): 0128(0080)
129(081): 0129(0081)
130(082): 0130(0082)
131(083): 0131(0083)
132(084): 0132(0084)
133(085): 0133(0085)
134(086): 0134(0086)
135(087): 0135(0087)
136(088): 0136(0088)
137(089): 0137(0089)
138(08a): 0138(008a)
139(08b): 0139(008b)
140(08c): 0140(008c)
141(08d): 0141(008d)
142(08e): 0142(008e)
143(08f): 0143(008f)
144(090): 0144(0090)
145(091): 0145(0091)
146(092): 0146(0092)
147(093): 0147(0093)
148(094): 0148(0094)
149(095): 0149(0095)
150(096): 0150(0096)
151(097): 0151(0097)
152(098): 0152(0098)
153(099): 0153(0099)
154(09a): 0154(009a)
155(09b): 0155(009b)
156(09c): 0156(009c)
157(09d): 0157(009d)
158(09e): 0158(009e)
159(09f): 0159(009f)
160(0a0): 0160(00a0)
161(0a1): 0260(0104)
162(0a2): 0728(02d8)
163(0a3): 0321(0141)
164(0a4): 0164(00a4)
165(0a5): 0317(013d)
166(0a6): 0346(015a)
167(0a7): 0167(00a7)
168(0a8): 0168(00a8)
169(0a9): 0352(0160)
170(0aa): 0350(015e)
171(0ab): 0356(0164)
172(0ac): 0377(0179)
173(0ad): 0173(00ad)
174(0ae): 0381(017d)
175(0af): 0379(017b)
176(0b0): 0176(00b0)
177(0b1): 0261(0105)
178(0b2): 0731(02db)
179(0b3): 0322(0142)
180(0b4): 0180(00b4)
181(0b5): 0318(013e)
182(0b6): 0347(015b)
183(0b7): 0711(02c7)
184(0b8): 0184(00b8)
185(0b9): 0353(0161)
186(0ba): 0351(015f)
187(0bb): 0357(0165)
188(0bc): 0378(017a)
189(0bd): 0733(02dd)
190(0be): 0382(017e)
191(0bf): 0380(017c)
192(0c0): 0340(0154)
193(0c1): 0193(00c1)
194(0c2): 0194(00c2)
195(0c3): 0258(0102)
196(0c4): 0196(00c4)
197(0c5): 0313(0139)
198(0c6): 0262(0106)
199(0c7): 0199(00c7)
200(0c8): 0268(010c)
201(0c9): 0201(00c9)
202(0ca): 0280(0118)
203(0cb): 0203(00cb)
204(0cc): 0282(011a)
205(0cd): 0205(00cd)
206(0ce): 0206(00ce)
207(0cf): 0270(010e)
208(0d0): 0272(0110)
209(0d1): 0323(0143)
210(0d2): 0327(0147)
211(0d3): 0211(00d3)
212(0d4): 0212(00d4)
213(0d5): 0336(0150)
214(0d6): 0214(00d6)
215(0d7): 0215(00d7)
216(0d8): 0344(0158)
217(0d9): 0366(016e)
218(0da): 0218(00da)
219(0db): 0368(0170)
220(0dc): 0220(00dc)
221(0dd): 0221(00dd)
222(0de): 0354(0162)
223(0df): 0223(00df)
224(0e0): 0341(0155)
225(0e1): 0225(00e1)
226(0e2): 0226(00e2)
227(0e3): 0259(0103)
228(0e4): 0228(00e4)
229(0e5): 0314(013a)
230(0e6): 0263(0107)
231(0e7): 0231(00e7)
232(0e8): 0269(010d)
233(0e9): 0233(00e9)
234(0ea): 0281(0119)
235(0eb): 0235(00eb)
236(0ec): 0283(011b)
237(0ed): 0237(00ed)
238(0ee): 0238(00ee)
239(0ef): 0271(010f)
240(0f0): 0273(0111)
241(0f1): 0324(0144)
242(0f2): 0328(0148)
243(0f3): 0243(00f3)
244(0f4): 0244(00f4)
245(0f5): 0337(0151)
246(0f6): 0246(00f6)
247(0f7): 0247(00f7)
248(0f8): 0345(0159)
249(0f9): 0367(016f)
250(0fa): 0250(00fa)
251(0fb): 0369(0171)
252(0fc): 0252(00fc)
253(0fd): 0253(00fd)
254(0fe): 0355(0163)
255(0ff): 0729(02d9)
